Samra (SEPGCO),Amman East (IPP1),Qatrana (IPP2),Zarqa (ACWA),IPP4 (Levant),IPP3 (Amman Asia),Rehab,Risha,Aqaba steam
1150.0,380.0,373.0,0.0,0.0,0.0,286.89610441999906,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,292.3929609430363,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,65.29564603504568
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,131.5111866105474
1150.0,380.0,373.0,0.0,250.0,0.0,272.1992922345758,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,417.4753003954824,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,391.2914395430823,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,271.4911153757077,65.0,35.0,55.0
1103.7157558919,372.59372945175005,373.0,0.0,166.32010761228642,143.25,65.0,35.0,55.0
1028.4899683762853,347.54961634096156,348.8208165430524,0.0,151.71104163099315,0.0,65.0,35.0,55.0
899.1785364487464,304.4993508048368,306.2434516510744,0.0,126.59838673492034,0.0,65.0,35.0,55.0
726.9757020896157,247.16971153993364,249.54356978718724,0.0,112.5,0.0,65.0,35.0,55.0
730.5222302723381,248.35041905915054,250.71130741320061,0.0,0.0,0.0,65.0,35.0,55.0
683.795509551611,232.79419402417557,235.32596515323107,0.0,0.0,0.0,65.0,35.0,55.0
674.8557304461891,229.8179694275879,232.38243393289378,0.0,0.0,0.0,65.0,35.0,55.0
698.1456643477673,237.5716368631444,240.05092850646875,0.0,0.0,0.0,65.0,35.0,55.0
781.8018265156709,265.4223840196638,267.595739425284,0.0,0.0,0.0,65.0,35.0,55.0
951.1606780877033,321.80520665482493,323.3592052966498,0.0,0.0,0.0,65.0,35.0,55.0
1084.2160405297307,366.10189874732595,367.16930493813476,0.0,0.0,0.0,65.0,35.0,55.0
1107.5031679851384,373.8546318629151,373.0,0.0,0.0,0.0,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,116.73777699743908,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,122.04951671011781,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,104.26617164738198,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,166.9589823598575,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,202.23075465486204,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,219.36762773775033,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,240.45246592159293,35.0,55.0
1150.0,380.0,373.0,0.0,0.0,0.0,297.0,35.0,81.00455307333746
1150.0,380.0,373.0,0.0,250.0,0.0,233.67109643120725,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,384.8146873677976,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,374.9410865960111,65.0,35.0,55.0
1150.0,380.0,373.0,0.0,250.0,275.66492865253053,65.0,35.0,55.0
1118.407340946233,377.48484099778887,373.0,0.0,169.1732560141424,143.25,65.0,35.0,55.0
1046.3717215453462,353.5027962779905,354.70860170047,0.0,155.18372992759333,0.0,65.0,35.0,55.0
930.2348226176289,314.8385864486387,316.46911235788,0.0,132.62960752713812,0.0,65.0,35.0,55.0
843.8358456203528,286.0747034234585,288.02119622956735,0.0,115.85067576244968,0.0,65.0,35.0,55.0
781.577694107362,265.34776602534487,267.5219410983269,0.0,112.5,0.0,65.0,35.0,55.0
801.0903645402863,271.8439097222687,273.9467256410042,0.0,0.0,0.0,65.0,35.0,55.0
786.342154650681,266.9339466782759,269.0906977971159,0.0,0.0,0.0,65.0,35.0,55.0
797.3403990841603,270.5954740176206,272.7120038134147,0.0,0.0,0.0,65.0,35.0,55.0
862.0294589187782,292.1317076023132,294.01166513524527,0.0,0.0,0.0,65.0,35.0,55.0
980.0557065590765,331.42491799684734,332.8732455671121,0.0,0.0,0.0,65.0,35.0,55.0
1073.6388941235928,362.5805630493819,363.6866505792969,0.0,0.0,0.0,65.0,35.0,55.0
